PROPERTY_TYPE,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,YEAR_BUILT,URL_(SEE_http://www.redfin.com/buy-a-home/comparative-market-analysis_FOR_INFO_ON_PRICING),LATITUDE,LONGITUDE,AGE,CITY numeric
Condo/Co-op,BROOKLYN,NY,11204,150000.0,1.0,1.0,Ridge Harbor,943.4822134387351,1927.0,http://www.redfin.com/NY/Brooklyn/1515-W-7th-St-11204/unit-4B/home/168962475,40.6100544,-73.9808483,94.0,624
Condo/Co-op,BRONX,NY,10470,150000.0,1.0,1.0,Bronx,943.4822134387351,1967.0,http://www.redfin.com/NY/The-Bronx/4200-Herkimer-Pl-10470/unit-4A/home/168955646,40.895868,-73.875456,54.0,393
Condo/Co-op,BRONX,NY,10467,175000.0,1.0,1.0,Bronx,943.4822134387351,1968.0,http://www.redfin.com/NY/The-Bronx/2550-Olinville-Ave-10467/unit-9L/home/168952104,40.8644237,-73.8680481,53.0,393
Condo/Co-op,BRONX,NY,10461,119000.0,0.0,1.0,Bronx,1352.9759036144578,1963.0,http://www.redfin.com/NY/Bronx/3121-Middletown-RD-10465/unit-1l/home/168946751,40.8262186,-73.8242621,58.0,393
Condo/Co-op,QUEENS VILLAGE,NY,11427,155000.0,1.0,1.0,Hilltop Village,943.4822134387351,1950.0,http://www.redfin.com/NY/Queens-Village/114-27-Francis-Lewis-Blvd-11429/unit-22-B/home/168934083,40.7009984,-73.748036,71.0,1013
Condo/Co-op,BRONX,NY,10467,139900.0,1.0,1.0,Bronx,943.4822134387351,1927.0,http://www.redfin.com/NY/The-Bronx/3396-Wayne-Ave-10467/unit-D52/home/44753209,40.879445200000006,-73.87784690000002,94.0,393
Condo/Co-op,JAMAICA ESTATES,NY,11432,135000.0,0.0,1.0,Co-Op,1352.9759036144578,1958.0,http://www.redfin.com/NY/Jamaica/164-20-Highland-Ave-11432/unit-6W/home/20648331,40.710029,-73.798893,63.0,1055
Condo/Co-op,LAURELTON,NY,11413,160000.0,1.0,1.0,Queens,943.4822134387351,1960.0,http://www.redfin.com/NY/Laurelton/223-1-133rd-Ave-11413/unit-1A/home/168916775,40.6794152,-73.7455982,61.0,694
Condo/Co-op,BRONX,NY,10475,160000.0,1.0,1.0,Bronx,943.4822134387351,1965.0,http://www.redfin.com/NY/The-Bronx/3410-De-Reimer-Ave-10475/unit-3H/home/168892796,40.8800687,-73.8364386,56.0,393
Condo/Co-op,YONKERS,NY,10705,110000.0,1.0,1.0,Yonkers,943.4822134387351,1953.0,http://www.redfin.com/NY/Yonkers/501-Riverdale-Ave-10705/unit-4B/home/54975953,40.9151414,-73.90240849999998,68.0,555
Condo/Co-op,BRONX,NY,10468,155000.0,1.0,1.0,Bronx,943.4822134387351,1950.0,http://www.redfin.com/NY/The-Bronx/5-Fordham-Hill-Oval-10468/unit-7D/home/44764656,40.8653295,-73.90739,71.0,393
Condo/Co-op,BRONX,NY,10467,129000.0,2.0,1.0,Bronx,1002.4694280078895,1962.0,http://www.redfin.com/NY/The-Bronx/814-Tilden-St-10467/unit-6B/home/168688671,40.8767393,-73.86146490000002,59.0,393
Condo/Co-op,BRONX,NY,10451,115000.0,2.0,1.0,Bronx,1002.4694280078895,1950.0,http://www.redfin.com/NY/The-Bronx/530-E-159th-St-10451/unit-43/home/44772435,40.82111079999999,-73.91027340000002,71.0,393
Condo/Co-op,BROOKLYN,NY,11229,159000.0,1.0,1.0,Brooklyn,943.4822134387351,1957.0,http://www.redfin.com/NY/Brooklyn/2212-Plumb-1st-St-11229/unit-2A/home/55349771,40.5993474,-73.93304609999998,64.0,624
Condo/Co-op,BROOKLYN,NY,11234,154900.0,1.0,1.0,Brooklyn,943.4822134387351,1965.0,http://www.redfin.com/NY/Brooklyn/1275-E-51st-St-11234/unit-2V/home/40467852,40.6299186,-73.92659609999998,56.0,624
Condo/Co-op,YONKERS,NY,10704,140000.0,1.0,1.0,Yonkers,943.4822134387351,1950.0,http://www.redfin.com/NY/Yonkers/38-Laurel-Pl-10704/unit-4I/home/40260043,40.907756,-73.8574397,71.0,555
