SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION, ,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,j,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,5 Fordham Hill Oval Unit 11D,Bronx,NY,10468,160000,1,1,Bronx,750,,1951,63,213,,Active,,,http://www.redfin.com/NY/The-Bronx/5-Fordham-Hill-Oval-10468/unit-11D/home/44799621,HGMLS,5118601,N,Y,40.8653295,-73.90739
MLS Listing,,Condo/Co-op,50 West St Unit 35A,New York,NY,10006,8950,2,2.5,New York,1642,,2016,64,5,,Active,,,http://www.redfin.com/NY/New-York/50-West-St-10006/unit-35A/home/113673072,HGMLS,5118450,N,Y,40.7078252,-74.0150476
MLS Listing,,Condo/Co-op,5621 Netherland Ave Unit 6E,Bronx,NY,10471,167500,1,1,Riverdale,720,,1950,64,233,,Active,,,http://www.redfin.com/NY/The-Bronx/5621-Netherland-Ave-10471/unit-6E/home/169653653,HGMLS,5118150,N,Y,40.9050385,-73.9064185
MLS Listing,,Condo/Co-op,147-35 Village Rd Unit 35GC,Briarwood,NY,11435,159000,1,1,Parkway Village,,,1948,64,,,Active,,,http://www.redfin.com/NY/Jamaica/147-35-Village-Rd-11435/unit-35GC/home/20634630,MLSLI,3178285,N,Y,40.7170497,-73.8128134
MLS Listing,,Single Family Residential,134 Freeborn St,Staten Island,NY,10306,120000,2,1,Staten Island,,1900,1925,64,,,Active,,,http://www.redfin.com/NY/Staten-Island/134-Freeborn-St-10306/home/56017734,MLSLI,3178283,N,Y,40.575846,-74.090966
MLS Listing,,Condo/Co-op,77 Bronx River Rd Unit 2F,Yonkers,NY,10704,130000,1,1,Yonkers,760,,1954,64,171,,Active,,,http://www.redfin.com/NY/Yonkers/77-Bronx-River-Rd-10704/unit-2F/home/49748431,HGMLS,5094194,N,Y,40.9037704,-73.8595638
MLS Listing,,Condo/Co-op,639 E 169th St Unit 4C,Bronx,NY,10456,145000,3,1,Bronx,21378,5135,1904,64,7,,Active,,,http://www.redfin.com/NY/The-Bronx/639-E-169th-St-10456/unit-4C/home/169650159,HGMLS,5118280,N,Y,40.831707,-73.9009616
MLS Listing,,Vacant Land,1979 Cortona Ave,bronx,NY,11693,169000,,,Bronx,,1672,,65,,,Active,,,http://www.redfin.com/NY/bronx/1979-Cortona-AVE-11693/home/169649296,MLSLI,3178048,N,Y,40.6166766,-73.8272029
MLS Listing,,Condo/Co-op,2922 Barnes Ave Unit 3L,Bronx,NY,10467,153000,1,1,Bronx,800,,1928,65,191,,Active,,,http://www.redfin.com/NY/The-Bronx/2922-Barnes-Ave-10467/unit-3L/home/169648191,HGMLS,5118090,N,Y,40.8685583,-73.8631566
MLS Listing,,Condo/Co-op,609 Kappock St Unit 1B,Bronx,NY,10463,149900,1,1,Riverdale,921,,1962,67,163,,Active,,,http://www.redfin.com/NY/Bronx/609-Kappock-St-10463/unit-1B/home/44602418,HGMLS,5117676,N,Y,40.8797736,-73.9161877
