#,Zip Code,Location,City,Population,People / Sq. Mile,National Rank
210,11570,"40.665341, -73.638921","Rockville Centre, New York","27,827","7,626.62",#894
211,11518,"40.638346, -73.666295","East Rockaway, New York","11,202","7,625.48",#895
212,12206,"42.673376, -73.781497","Albany, New York","16,291","7,567.38",#906
213,10474,"40.810203, -73.884437","Bronx, New York","11,354","7,487.55",#926
214,14608,"43.154821, -77.623507","Rochester, New York","12,362","7,432.49",#936
215,10707,"40.959962, -73.822722","Tuckahoe, New York","9,447","7,431.76",#937
216,11581,"40.652229, -73.714706","Valley Stream, New York","20,094","7,367.49",#950
217,14220,"42.844910, -78.822083","Buffalo, New York","26,550","7,277.11",#967
218,11726,"40.678789, -73.395729","Copiague, New York","17,737","7,229.13",#977
219,11516,"40.627479, -73.727879","Cedarhurst, New York","7,068","7,227.73",#978
220,14209,"42.916573, -78.865781","Buffalo, New York","8,547","7,222.56",#979
221,11710,"40.675775, -73.535668","Bellmore, New York","34,463","7,180.97",#986
222,11507,"40.770879, -73.652364","Albertson, New York","7,755","7,120.71","#1,001"
223,10306,"40.569755, -74.122141","Staten Island, New York","55,698","7,104.18","#1,005"
224,10307,"40.506815, -74.241709","Staten Island, New York","11,669","7,091.02","#1,009"
225,11762,"40.682635, -73.445756","Massapequa Park, New York","24,471","7,036.96","#1,025"
226,10312,"40.547291, -74.179264","Staten Island, New York","58,867","7,013.96","#1,031"
227,14214,"42.939793, -78.841077","Buffalo, New York","21,860","6,922.39","#1,056"
228,11596,"40.760589, -73.640783","Williston Park, New York","10,572","6,902.69","#1,059"
229,14223,"42.973496, -78.846382","Buffalo, New York","24,094","6,870.35","#1,069"
230,11757,"40.689587, -73.373856","Lindenhurst, New York","46,458","6,788.98","#1,088"
231,11590,"40.756284, -73.570247","Westbury, New York","42,507","6,740.76","#1,096"
232,10314,"40.598825, -74.163336","Staten Island, New York","84,821","6,550.27","#1,155"
233,14611,"43.147187, -77.646472","Rochester, New York","19,774","6,548.21","#1,157"
234,11598,"40.631555, -73.711280","Woodmere, New York","13,226","6,448.78","#1,187"
235,10573,"41.018087, -73.679179","Port Chester, New York","36,300","6,381.76","#1,211"
236,12308,"42.820980, -73.919670","Schenectady, New York","13,346","6,271.39","#1,236"
237,14620,"43.127295, -77.610027","Rochester, New York","28,094","6,222.20","#1,250"
238,14609,"43.177093, -77.554873","Rochester, New York","43,665","6,050.66","#1,292"
239,14204,"42.883587, -78.861199","Buffalo, New York","10,040","5,948.37","#1,331"
240,10709,"40.952626, -73.809927","Eastchester, New York","9,093","5,939.63","#1,334"
241,11554,"40.720115, -73.558861","East Meadow, New York","37,458","5,935.83","#1,337"
242,13210,"43.031420, -76.125816","Syracuse, New York","27,352","5,930.10","#1,338"
243,11801,"40.762304, -73.524452","Hicksville, New York","39,449","5,886.96","#1,353"
244,14207,"42.952131, -78.898018","Buffalo, New York","22,986","5,869.13","#1,361"
